"ID","address","house_name","house_district_number","house_is_upcoming_state_legislative_district","senate_name","senate_district_number","senate_is_upcoming_state_legislative_district"
1," 1109 N Highland St, Arlington, VA","State House District 2","2",TRUE,"State Senate District 40","40",TRUE
2," 229 N HOWARD ST ALEXANDRIA VA 22304-2358 USA","State House District 5","5",TRUE,"State Senate District 39","39",TRUE
3," 4258 BUCKMAN RD ALEXANDRIA VA 22309-4404 USA","State House District 16","16",TRUE,"State Senate District 34","34",TRUE
4," 401 LAUREL WOOD LN BERRYVILLE VA 22611-2446 USA","State House District 31","31",TRUE,"State Senate District 1","1",TRUE
5," 13609 CARROLLTON BLVD CARROLLTON VA 23314-3214 USA","State House District 83","83",TRUE,"State Senate District 17","17",TRUE
6," 210 DILLON CIR FORT EUSTIS VA 23604-5353 USA","State House District 69","69",TRUE,"State Senate District 24","24",TRUE
7," 34400 WALNUT HILL RD WAVERLY VA 23890-3307 USA","State House District 83","83",TRUE,"State Senate District 13","13",TRUE
8," 2700 JEB STUART HWY MEADOWS OF DAN VA 24120-4105 USA","State House District 47","47",TRUE,"State Senate District 7","7",TRUE
9," 3801 BULL HILL RD SAINT PAUL VA 24283-3201 USA","State House District 45","45",TRUE,"State Senate District 6","6",TRUE
10," 16 LICHFIELD BLVD FREDERICKSBURG VA 22403-1284 USA","State House District 65","65",TRUE,"State Senate District 27","27",TRUE
